47,8,3,-81
48,8,3,-80
49,8,3,-83
50,8,3,-81
51,8,3,-81
52,8,3,-88
53,8,3,-90
54,8,3,-84
55,8,3,-79
56,8,3,-79
57,8,3,-84
58,8,3,-81
59,8,3,-80
60,8,3,-80
61,8,3,-84
62,8,3,-81
63,8,3,-80
64,8,3,-83
65,8,3,-83
66,8,3,-79
67,8,3,-82
68,8,3,-80
69,8,3,-82
70,8,3,-82
71,8,3,-82
72,8,3,-80
73,8,3,-83
74,8,3,-81
75,8,3,-81
76,8,3,-83
77,8,3,-82
78,8,3,-80
79,8,3,-84
80,8,3,-94
81,8,3,-87
82,8,3,-81
83,8,3,-82
84,8,3,-81
85,8,3,-89
86,8,3,-88
87,8,3,-81
88,8,3,-82
89,8,3,-79
90,8,3,-82
91,8,3,-90
92,8,3,-75
93,8,3,-81
94,8,3,-83
95,8,3,-82
96,8,3,-82
97,8,3,-83
98,8,3,-82
99,8,3,-82
100,8,3,-83
